Tentacool	WATER	POISON	40	40	35	50	100	70	190	30	72	105	8	50	3	22	0	93	-1
Tentacruel	WATER	POISON	80	70	65	80	120	100	60	0	-1	205	8	50	3	22	0	93	-1
Geodude	ROCK	GROUND	40	80	100	30	30	20	255	25	74	73	6	64	79	91	-1	-1	-1
Graveler	ROCK	GROUND	55	95	115	45	45	35	120	35	75	134	6	64	79	91	-1	-1	-1
Golem	ROCK	GROUND	80	120	130	55	65	45	45	0	-1	177	6	64	79	91	-1	-1	-1
Ponyta	FIRE	NULL	50	85	55	65	65	90	190	40	77	152	18	44	56	47	-1	-1	-1
Rapidash	FIRE	NULL	65	100	70	80	80	105	60	0	-1	192	18	44	56	47	-1	-1	-1
Slowpoke	WATER	PSYCHIC	90	65	65	40	40	15	190	37	79	99	17	60	22	83	-1	-1	-1
Slowbro	WATER	PSYCHIC	95	75	110	100	80	30	75	0	-1	164	17	60	22	83	-1	-1	-1
Magnemite	ELECTRIC	STEEL	25	35	70	95	55	45	190	30	81	89	6	14	46	-1	-1	-1	-1
Magneton	ELECTRIC	STEEL	50	60	95	120	70	70	60	40	82	161	6	14	46	-1	-1	-1	-1
Farfetch'd	NORMAL	FLYING	52	90	55	58	62	60	45	0	-1	94	2	30	41	-1	-1	-1	-1
Doduo	NORMAL	FLYING	35	85	45	35	35	75	190	31	84	96	2	30	29	39	88	-1	-1
Dodrio	NORMAL	FLYING	60	110	70	60	60	110	45	0	-1	158	2	30	29	39	88	-1	-1
Seel	WATER	NULL	65	45	55	45	70	45	190	34	86	100	60	24	47	81	-1	-1	-1
Dewgong	WATER	ICE	90	70	80	70	95	70	75	0	-1	176	60	24	47	81	-1	-1	-1
Grimer	POISON	NULL	80	80	50	40	50	25	190	38	88	90	4	42	-1	-1	-1	-1	-1
Muk	POISON	NULL	105	105	75	65	100	50	75	0	-1	157	4	42	-1	-1	-1	-1	-1
Shellder	WATER	NULL	30	65	100	45	25	40	190	34	90	97	6	74	24	81	-1	-1	-1
Cloyster	WATER	ICE	50	95	180	85	45	70	60	0	-1	203	6	74	24	81	67	-1	-1
Gastly	GHOST	POISON	30	35	30	100	35	80	190	25	92	95	12	54	-1	-1	-1	-1	-1
Haunter	GHOST	POISON	45	50	45	115	55	95	90	35	93	126	12	54	-1	-1	-1	-1	-1
Gengar	GHOST	POISON	60	65	60	130	75	110	45	0	-1	190	12	54	-1	-1	-1	-1	-1
Onix	ROCK	GROUND	35	45	160	30	45	70	45	0	-1	108	6	26	64	39	40	-1	-1
Drowzee	PSYCHIC	NULL	60	48	45	43	90	42	190	26	96	102	4	17	60	83	-1	-1	-1
Hypno	PSYCHIC	NULL	85	73	70	73	115	67	75	0	-1	165	4	17	60	83	-1	-1	-1
Krabby	WATER	NULL	30	105	90	25	25	50	225	28	98	115	9	15	44	75	-1	-1	-1
Kingler	WATER	NULL	55	130	115	50	50	75	60	0	-1	206	9	15	44	75	-1	-1	-1
Voltorb	ELECTRIC	NULL	40	30	50	55	55	100	190	30	100	103	6	96	46	91	-1	-1	-1
Electrode	ELECTRIC	NULL	60	50	70	80	80	150	60	0	-1	150	6	96	46	91	-1	-1	-1
Exeggcute	GRASS	PSYCHIC	60	40	80	60	45	40	90	28	102	98	25	86	44	-1	-1	-1	-1
Exeggutor	GRASS	PSYCHIC	95	95	85	125	75	55	45	0	-1	212	25	86	44	-1	-1	-1	-1
Cubone	GROUND	NULL	50	50	95	40	50	35	190	28	104	87	27	73	39	-1	-1	-1	-1
Marowak	GROUND	NULL	60	80	110	50	80	45	75	0	-1	124	27	73	39	-1	-1	-1	-1
Hitmonlee	FIGHTING	NULL	50	120	53	35	110	87	45	20	106	139	11	65	32	31	95	-1	-1
Hitmonchan	FIGHTING	NULL	50	105	79	35	110	76	45	0	-1	140	52	55	62	71	34	-1	-1
Lickitung	NORMAL	NULL	90	55	75	60	75	30	45	0	-1	127	50	44	40	-1	-1	-1	-1
Koffing	POISON	NULL	40	65	95	60	45	35	190	35	109	114	6	43	42	96	91	-1	-1
Weezing	POISON	NULL	65	90	120	85	70	60	60	0	-1	173	6	43	42	96	91	-1	-1
Rhyhorn	GROUND	ROCK	80	85	95	30	30	25	120	42	111	135	19	44	30	47	-1	-1	-1
Rhydon	GROUND	ROCK	105	130	120	45	45	40	60	0	-1	204	19	44	30	47	-1	-1	-1
Chansey	NORMAL	NULL	250	5	5	35	105	50	30	0	-1	255	4	78	53	-1	-1	-1	-1
Tangela	GRASS	NULL	65	55	115	100	40	60	45	0	-1	166	0	26	23	40	-1	-1	-1
Kangaskhan	NORMAL	NULL	105	95	80	40	80	90	45	0	-1	175	52	39	16	34	-1	-1	-1
Horsea	WATER	NULL	30	40	70	70	25	60	225	32	116	83	9	22	93	-1	-1	-1	-1
Seadra	WATER	NULL	55	65	95	95	45	85	75	0	-1	155	9	22	93	-1	-1	-1	-1
Goldeen	WATER	NULL	45	67	60	35	50	63	225	33	118	111	2	19	30	72	-1	-1	-1
Seaking	WATER	NULL	80	92	65	65	80	68	60	0	-1	170	2	19	30	72	-1	-1	-1
Staryu	WATER	NULL	30	45	55	70	55	85	225	32	120	106	6	22	46	93	-1	-1	-1
Starmie	WATER	PSYCHIC	60	75	85	100	85	115	60	0	-1	207	6	22	46	93	-1	-1	-1
Mr.Mime	PSYCHIC	FAIRY	40	45	65	100	120	90	45	0	-1	136	17	78	-1	-1	-1	-1	-1
Scyther	BUG	FLYING	70	110	80	55	80	105	45	0	-1	187	13	41	-1	-1	-1	-1	-1
Jynx	ICE	PSYCHIC	65	50	35	115	95	95	45	0	-1	137	4	12	78	62	51	48	90
Electabuzz	ELECTRIC	NULL	65	83	57	95	85	105	45	0	-1	156	13	14	71	87	-1	-1	-1
Magmar	FIRE	NULL	65	95	57	100	85	93	45	0	-1	167	18	55	57	-1	-1	-1	-1
Pinsir	BUG	NULL	65	125	100	55	70	85	45	0	-1	200	15	41	-1	-1	-1	-1	-1
Tauros	NORMAL	NULL	75	100	95	40	70	110	45	0	-1	211	6	44	39	47	-1	-1	-1
Magikarp	WATER	NULL	20	10	55	15	20	80	255	20	129	20	6	-1	-1	-1	-1	-1	-1
Gyarados	WATER	FLYING	95	125	79	60	100	81	45	0	-1	214	6	16	93	93	-1	-1	-1
Lapras	WATER	ICE	130	85	80	85	95	60	45	0	-1	219	22	51	81	93	-1	-1	-1
Ditto	NORMAL	NULL	48	48	48	48	48	48	35	0	-1	61	6	40	44	-1	-1	-1	-1
Eevee	NORMAL	NULL	55	55	50	45	65	55	45	0	-1	92	6	13	16	47	-1	-1	-1
Vaporeon	WATER	NULL	130	65	60	110	95	65	45	0	-1	196	6	13	22	16	93	-1	-1
Jolteon	ELECTRIC	NULL	65	65	60	110	95	130	45	0	-1	197	6	13	14	11	37	87	-1
Flareon	FIRE	NULL	65	130	60	95	110	65	45	0	-1	198	6	13	18	16	56	39	57
Porygon	NORMAL	NULL	65	60	70	85	75	40	45	0	-1	130	6	38	88	-1	-1	-1	-1
Omanyte	ROCK	WATER	35	40	100	90	55	35	45	40	138	99	22	19	67	93	-1	-1	-1
Omastar	ROCK	WATER	70	60	125	115	70	55	45	0	-1	199	22	19	67	93	-1	-1	-1
Kabuto	ROCK	WATER	30	80	90	55	45	55	45	40	140	99	5	41	93	-1	-1	-1	-1
Kabutops	ROCK	WATER	60	115	105	65	70	80	45	0	-1	199	5	41	93	-1	-1	-1	-1
Aerodactyl	ROCK	FLYING	80	105	65	60	75	130	45	0	-1	202	7	16	47	93	-1	-1	-1
Snorlax	NORMAL	NULL	160	110	65	65	110	30	25	0	-1	154	60	51	94	-1	-1	-1	-1
Articuno	ICE	FLYING	90	85	100	95	125	85	3	0	-1	215	2	81	90	-1	-1	-1	-1
Zapdos	ELECTRIC	FLYING	90	90	85	125	90	100	3	0	-1	216	14	29	87	-1	-1	-1	-1
Moltres	FIRE	FLYING	90	100	90	125	85	90	3	0	-1	217	2	56	97	-1	-1	-1	-1
Dratini	DRAGON	NULL	41	64	45	50	50	50	45	30	147	67	50	40	94	-1	-1	-1	-1
Dragonair	DRAGON	NULL	61	84	65	70	70	70	45	55	148	144	50	40	94	-1	-1	-1	-1
Dragonite	DRAGON	FLYING	91	134	95	100	100	80	45	0	-1	218	50	40	94	-1	-1	-1	-1
Mewtwo	PSYCHIC	NULL	106	110	90	154	90	130	3	0	-1	220	17	46	83	-1	-1	-1	-1
Mew	PSYCHIC	NULL	100	100	100	100	100	100	45	0	-1	64	4	34	83	-1	-1	-1	-1
